"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Fréquent4',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)","('Mot Important4',)",0
santé,professionnel,qualité,vie,social,sécurité,pouvoir,faire,2
santé,professionnel,complémentaire,pratique,social,sécurité,pouvoir,vise,2
santé,prix,critère,fixer,social,sécurité,permettre,supprimer,2
manutention,préciser,insérer,accord,social,sécurité,devoir,vise,2
maladie,branche,pourcent,tableau,sécurité,santé,public,financement,2
santé,établissement,garantie,financement,vise,permettre,faire,prévoir,2
maison,naissance,activité,accouchement,santé,insérer,proposer,établissement,2
santé,établissement,financement,système,vise,public,compléter,national,2
libéral,appel,permettre,dentiste,insérer,dispositif,année,concerner,2
licence,office,cas,exploiter,social,sécurité,public,rédiger,2
fédération,médical,santé,établissement,pouvoir,vise,charge,compléter,2
ligne,malus,déclarer,revenu,pouvoir,devoir,supprimer,mettre,2
liste,dispositif,médical,sus,social,sécurité,rédiger,compléter,2
vétérinaire,rural,social,exercice,devoir,permettre,faire,insérer,2
santé,versement,régional,conseil,permettre,insérer,prévoir,dispositif,2
année,fin,substituer,rédaction,national,substituer,fin,rédaction,2
santé,travail,travailleur,infirmier,pouvoir,devoir,vise,insérer,2
maison,naissance,activité,accouchement,santé,insérer,établissement,titre,2
maison,naissance,établissement,santé,faire,public,dispositif,droit,2
zone,développement,entreprise,dispositif,devoir,vise,insérer,prévoir,2
maison,naissance,compléter,utiliser,compléter,ailleurs,mission,vie,2
zone,entreprise,dispositif,développement,devoir,vise,insérer,charge,2
maison,naissance,femme,sage,pouvoir,permettre,faire,supprimer,2
santé,tiers,payer,assurance,sécurité,vise,public,insérer,2
maison,naissance,mécanisme,social,sécurité,vise,insérer,condition,2
santé,territorial,mental,établissement,social,permettre,compléter,sanitaire,2
maison,naissance,sage,femme,social,pouvoir,faire,supprimer,2
maison,naissance,sage,femme,sécurité,pouvoir,santé,permettre,2
zone,médecin,franc,médical,pouvoir,devoir,public,insérer,2
social,devoir,maritime,titre,vise,prévoir,droit,état,2
social,fraude,prestation,travail,sécurité,devoir,permettre,public,2
fraude,social,travail,national,faire,prévoir,mettre,an,2
faire,obligation,déclaration,ligne,pouvoir,supprimer,mettre,condition,2
autorisation,délivrer,déposer,mars,vise,disposition,substituer,concerner,2
social,sécurité,cotisation,patronal,permettre,insérer,rédiger,prévoir,2
social,sécurité,cotisation,patronal,permettre,insérer,rédiger,financement,2
exonération,pourcent,mois,cotisation,pouvoir,permettre,droit,état,2
social,sécurité,cotisation,patronal,permettre,insérer,rédiger,dispositif,2
exonération,social,salaire,smic,pouvoir,permettre,charge,perte,2
autorisation,accès,entreprise,médicament,pouvoir,devoir,vise,insérer,2
social,sécurité,cotisation,ensemble,santé,devoir,supprimer,public,2
exposition,prise,charge,atteindre,santé,compléter,ensemble,mois,2
exposition,prise,charge,atteindre,santé,ensemble,mois,relatif,2
expérimentation,financement,sécurité,social,rédiger,compléter,ensemble,fin,2
social,sécurité,budget,année,vise,faire,prévoir,état,2
social,sécheresse,subir,cotisation,pouvoir,permettre,faire,rédiger,2
autonomie,supprimer,supprime,introduire,santé,devoir,permettre,supprimer,2
social,supprimer,vise,revenir,sécurité,devoir,vise,supprimer,2
expérimentation,santé,projet,hospitalier,public,nouveau,proposer,titre,2
autonomie,service,public,décentraliser,devoir,insérer,degré,nouveau,2
expérimentation,service,financier,prestataire,social,pouvoir,permettre,prévoir,2
autonomie,rôle,accompagnemer,appui,vise,compléter,nouveau,cadre,2
social,supprimer,supprime,additionnel,sécurité,vise,supprimer,social,2
projet,enfant,devoir,expression,santé,supprimer,dispositif,maladie,2
social,sécurité,exonération,cotisation,vise,permettre,dispositif,général,2
social,sécurité,français,degré,devoir,financement,pourcent,général,2
examen,prestation,demande,supprimer,pouvoir,vise,supprimer,ensemble,2
entreprise,spécialité,stock,pouvoir,faire,prévoir,dispositif,compléter,2
entreprise,effectif,salarié,vigueur,pouvoir,permettre,maladie,général,2
soin,ambulatoire,virage,impact,santé,mois,compter,prévoit,2
entreprise,marché,économique,menacer,vise,dispositif,compléter,état,2
social,état,sécurité,urgence,supprimer,prévoir,concerner,cotisation,2
entreprise,pouvoir,cotisation,comportement,vise,prévoir,charge,assurance,2
travailleur,détacher,fraude,statut,devoir,supprimer,national,mettre,2
entreprise,salarié,employeur,salarier,social,sécurité,vise,supprimer,2
traçabilité,utilisation,fixer,professionnel,santé,vise,faire,financement,2
social,sécurité,prévoir,supprimer,faire,financement,général,national,2
entreprise,supprimer,suppression,vise,vise,supprimer,dispositif,général,2
examen,médical,réalisation,biologie,sécurité,permettre,faire,supprimer,2
social,sécurité,pouvoir,achat,santé,perte,an,recette,2
téléconsultation,prise,charge,santé,vise,public,insérer,prévoir,2
téléconsultation,psychiatrie,pouvoir,pourcent,devoir,charge,prise,mois,2
téléconsultation,réaliser,acte,recours,social,sécurité,santé,faire,2
social,sécurité,indépendant,an,devoir,vise,permettre,insérer,2
européen,situer,territoire,état,sécurité,insérer,national,économique,2
social,sécurité,heure,supplémentaire,public,droit,pourcent,organisme,2
social,sécurité,heure,supplémentaire,devoir,supprimer,droit,organisme,2
examen,médical,pratiquant,élargissement,social,sécurité,compléter,mettre,2
social,supprimer,fin,rétablissement,social,supprimer,national,fin,2
faire,substituer,pouvoir,moment,pouvoir,devoir,vise,prévoir,2
social,entreprise,emploi,mettre,devoir,vise,permettre,charge,2
familial,allocation,adopter,politique,pouvoir,faire,conséquence,ensemble,2
financement,réforme,année,psychiatrie,social,sécurité,santé,public,2
financement,rétablir,état,avancement,social,sécurité,vise,supprimer,2
social,maladie,dépense,branche,faire,supprimer,année,assurance,2
social,janvier,perte,recette,sécurité,permettre,faire,rédiger,2
financement,établissement,santé,avis,faire,compléter,concerner,sanitaire,2
usager,association,famille,santé,vise,permettre,faire,insérer,2
financier,acos,social,cdc,permettre,financement,droit,pourcent,2
social,heure,cotisation,contribution,devoir,vise,faire,prévoir,2
fixer,insérer,annuellement,précision,vise,permettre,insérer,fixer,2
fonctionnement,dépense,dette,hôpital,financement,soin,condition,cas,2
fonctionnement,établissement,dépense,dette,devoir,public,insérer,soin,2
social,fraude,supprimer,ajouter,sécurité,pouvoir,vise,public,2
fonds,degré,allocation,caisse,social,sécurité,rédiger,charge,2
an,année,réforme,revenir,permettre,insérer,national,mettre,2
social,français,sécurité,quater,vise,financement,état,général,2
forfait,mise,santé,insérer,pouvoir,public,charge,national,2
forfait,modalité,périmètre,santé,vise,état,établissement,substituer,2
social,faire,sécurité,compensation,devoir,public,rédiger,financement,2
social,exonération,sécurité,to,devoir,vise,permettre,faire,2
français,étranger,existence,verser,vise,permettre,rédiger,compléter,2
social,européen,travailleur,sécurité,pouvoir,devoir,vise,public,2
financement,rédaction,montant,fonds,degré,maladie,national,assurance,2
urgence,viser,dispositif,forfait,vise,faire,soin,national,2
financement,expérimentation,modèle,nouveau,proposer,établissement,an,titre,2
famille,parent,indemnité,taux,pouvoir,devoir,supprimer,maladie,2
familial,handicap,prestation,association,pouvoir,devoir,faire,perte,2
autonomie,politique,territorial,mission,national,perte,nouveau,mise,2
social,smic,exonération,régime,pouvoir,devoir,permettre,faire,2
urgence,financement,bis,sécurité,santé,supprimer,insérer,prévoir,2
famille,entreprise,ij,parent,devoir,vise,supprimer,charge,2
autonomie,dépense,branche,maladie,social,sécurité,vise,supprimer,2
famille,familial,prestation,million,santé,devoir,insérer,prévoir,2
social,régime,exonération,sécurité,pouvoir,devoir,supprimer,prévoir,2
social,relatif,degré,janvier,prévoir,dispositif,compléter,maladie,2
famille,parent,taux,pourcent,devoir,vise,charge,national,2
financement,bilan,social,rétablir,pouvoir,devoir,permettre,faire,2
social,public,ehpad,sécurité,rédiger,charge,compléter,degré,2
social,prévoir,politique,état,pouvoir,devoir,vise,charge,2
femme,sage,arrêt,travail,social,sécurité,santé,supprimer,2
social,pouvoir,police,judiciaire,sécurité,rédiger,compléter,organisme,2
urgence,soin,ville,forfaitaire,santé,supprimer,maladie,assurance,2
feu,prise,retraite,indemnité,social,sécurité,vise,rédiger,2
social,paritarisme,branche,sécurité,santé,devoir,faire,prévoir,2
social,organisme,protection,fraude,sécurité,devoir,état,mise,2
financement,activité,année,réduire,vise,permettre,prévoir,soin,2
an,espérance,vie,âge,social,pouvoir,santé,supprimer,2
médecin,degré,zone,conventionnement,faire,insérer,rédiger,état,2
montant,ligne,second,colonne,vise,objectif,sanitaire,crise,2
établissement,santé,financement,mettre,social,sécurité,devoir,public,2
pourcent,taux,complémentaire,assurance,social,sécurité,permettre,prévoir,2
activité,degré,établissement,taux,social,devoir,insérer,rédiger,2
pourcent,taux,nombre,sécurité,financement,compléter,droit,général,2
retraite,supprimer,vise,conférence,prévoir,droit,assurance,mettre,2
pouvoir,aide,substituer,proposer,devoir,dispositif,maladie,état,2
retenir,publication,modalité,grand,santé,public,charge,dispositif,2
pouvoir,laboratoire,montant,finalement,social,sécurité,dispositif,droit,2
pouvoir,période,nécessaire,bénéficier,vise,dispositif,condition,substituer,2
pouvoir,salarié,prime,entreprise,social,sécurité,permettre,insérer,2
pouvoir,supprimer,vise,suppression,vise,supprimer,dispositif,droit,2
activité,cotisation,professionnel,libéral,devoir,vise,permettre,supprimer,2
activité,accueil,pouvoir,apprécier,social,vise,insérer,soin,2
établissement,santé,ticket,modérateur,faire,supprimer,public,dispositif,2
prestation,insérer,degré,bis,insérer,degré,pourcent,montant,2
recherche,public,médicament,développement,social,sécurité,pouvoir,vise,2
recherche,public,médicament,développement,social,sécurité,pouvoir,insérer,2
prestation,social,enquête,versement,sécurité,permettre,état,organisme,2
recherche,psychiatrie,laboratoire,pharmaceutique,santé,permettre,dispositif,mettre,2
acteur,prendre,problématique,ensemble,sécurité,santé,insérer,rédiger,2
établissement,spécifique,assure,activité,santé,permettre,compléter,prendre,2
établissement,traitement,santé,revalorisation,vise,permettre,public,compléter,2
pourcent,social,impôt,sécurité,devoir,vise,supprimer,prévoir,2
activité,financement,sécurité,application,permettre,dispositif,établissement,disposition,2
recette,section,affectation,cnsa,devoir,permettre,faire,nouveau,2
pourcent,santé,vaccinal,patient,vise,faire,public,compléter,2
patient,seuil,insérer,établir,vise,permettre,insérer,bénéficier,2
rédiger,fin,décembre,rétablissement,rédiger,national,fin,décembre,2
pension,alimentaire,paiement,créance,social,sécurité,devoir,financement,2
permettre,santé,contribution,avis,social,sécurité,vise,faire,2
personnel,médical,social,chiffrage,année,cadre,concerner,prévoit,2
pharmacien,nicotinique,santé,compléter,public,insérer,rédiger,proposer,2
pièce,détachée,réparation,garantie,faire,dispositif,compléter,cas,2
rédiger,début,degré,sécurité,social,sécurité,rédiger,degré,2
rédiger,année,rédaction,sécurité,social,sécurité,compléter,maladie,2
pluriannuel,ressource,répartition,montant,santé,insérer,relatif,viser,2
politique,public,santé,insérer,pouvoir,santé,faire,insérer,2
réaliser,téléconsultation,permettre,acte,santé,vise,prévoir,compléter,2
rural,foncier,installation,social,devoir,faire,insérer,dispositif,2
pourcent,branche,autonomie,financement,social,santé,faire,maladie,2
pourcent,collectivité,national,pompier,social,sécurité,devoir,faire,2
pourcent,correspondre,supprimer,pompier,social,sécurité,devoir,permettre,2
pourcent,csg,taux,point,sécurité,pouvoir,vise,permettre,2
activité,professionnel,cotisation,moniteur,supprimer,financement,droit,général,2
pourcent,dépassement,tarif,honoraire,faire,rédiger,prévoir,degré,2
revalorisation,établissement,traitement,agent,vise,dispositif,compléter,titre,2
activité,professionnel,cotisation,exercer,rédiger,charge,financement,compléter,2
prestation,étranger,verser,fraude,pouvoir,année,national,mois,2
radiothérapie,praticien,conventionner,prise,pouvoir,financement,cadre,mise,2
santé,médicamenteux,insérer,équivalent,devoir,insérer,soin,assurer,2
public,médicament,recherche,prix,pouvoir,vise,insérer,rédiger,2
public,médicament,investissement,développement,social,sécurité,insérer,rédiger,2
public,médicament,développement,investissement,social,sécurité,insérer,rédiger,2
public,information,produit,santé,social,sécurité,pouvoir,permettre,2
production,audiovisuel,territoire,ultramarin,social,sécurité,devoir,insérer,2
public,ehpad,social,priver,devoir,vise,rédiger,charge,2
produit,sucre,transformer,ajouter,social,devoir,insérer,rédiger,2
psychiatrie,recherche,santé,mental,pouvoir,devoir,vise,financement,2
psychiatrie,an,financement,donnée,condition,prendre,mois,travail,2
psychiatre,objectif,région,inégalité,charge,compléter,soin,prise,2
accouchement,femme,entretien,santé,pouvoir,devoir,faire,public,2
prévention,assurer,lutte,contre,social,santé,permettre,insérer,2
accouchement,entretien,femme,santé,pouvoir,devoir,faire,public,2
présence,parental,pouvoir,disposition,vise,prévoir,charge,degré,2
professionnel,santé,degré,remboursement,social,sécurité,devoir,vise,2
professionnel,santé,sécurité,affilié,devoir,supprimer,financement,droit,2
académique,médicament,dépense,production,vise,public,prévoir,financement,2
prélèvement,cotisation,pourcent,retraite,social,sécurité,santé,devoir,2
précision,substituer,avéré,établi,état,substituer,terme,convier,2
proximité,substituer,contigu,repli,proposer,établissement,substituer,terme,2
évaluation,psychologique,santé,enfant,social,devoir,vise,permettre,2
projet,régional,santé,aide,pouvoir,permettre,public,rédiger,2
prix,santé,convention,public,permettre,rédiger,dispositif,droit,2
étranger,place,contrôle,existence,social,dispositif,état,mise,2
